"","City","lon","lat"
"132","San Francisco, CA",-122.4194155,37.7749295
"133","Mountain View, CA",-122.0838511,37.3860517
"134","New York, NY",-74.0059728,40.7127753
"135","Pittsburgh, PA",-79.9958864,40.4406248
"136","Nashville, TN",-86.7816016,36.1626638
"137","Denver, CO",-104.990251,39.7392358
"138","Cincinnati, OH",-84.5120196,39.1031182
"139","Santa Clara, CA",-121.9552356,37.3541079
"140","San Francisco, CA",-122.4194155,37.7749295
"141","New York, NY",-74.0059728,40.7127753
"142","San Francisco, CA",-122.4194155,37.7749295
"143","Seattle, WA",-122.3320708,47.6062095
"144","San Francisco, CA",-122.4194155,37.7749295
"145","Nashville, TN",-86.7816016,36.1626638
"146","Shakopee, MN",-93.5272861,44.7973962
"147","San Francisco, CA",-122.4194155,37.7749295
"148","Cambridge, MA",-71.1097335,42.3736158
"149","Saint Louis, MO",-90.1994042,38.6270025
"150","San Francisco, CA",-122.4194155,37.7749295
"151","San Francisco, CA",-122.4194155,37.7749295
"152","Phoenix, AZ",-112.0740373,33.4483771
"153","Boulder, CO",-105.2705456,40.0149856
"154","McLean, VA",-77.1772604,38.9338676
"155","Cleveland, OH",-81.6943605,41.49932
"156","New York, NY",-74.0059728,40.7127753
"157","Berkeley, CA",-122.272747,37.8715926
"158","Santa Clara, CA",-121.9552356,37.3541079
"159","San Francisco, CA",-122.4194155,37.7749295
"160","Manchester, NH",-71.4547891,42.9956397
"161","New York, NY",-74.0059728,40.7127753
"162","Golden, CO",-105.2210997,39.755543
"163","San Francisco, CA",-122.4194155,37.7749295
"164","Morrisville, NC",-78.8255621,35.823483
"165","Chicago, IL",-87.6297982,41.8781136
"166","New York, NY",-74.0059728,40.7127753
"167","New York, NY",-74.0059728,40.7127753
"168","San Francisco, CA",-122.4194155,37.7749295
"169","Salt Lake City, UT",-111.8910474,40.7607793
"170","San Francisco, CA",-122.4194155,37.7749295
"171","San Francisco, CA",-122.4194155,37.7749295
"172","Springfield, VA",-77.1872036,38.7892801
"173","San Francisco, TX",-102.4040317,29.893526
"174","Milpitas, CA",-121.8995741,37.4323341
"175","Saint Louis, MO",-90.1994042,38.6270025
"176","Rochester, NY",-77.6109219,43.16103
"177","Waltham, MA",-71.2356113,42.3764852
"178","Fort Lauderdale, FL",-80.1373174,26.1224386
"179","New Jersey",-74.4056612,40.0583238
"180","San Francisco, CA",-122.4194155,37.7749295
"181","Boston, MA",-71.0588801,42.3600825
"182","San Francisco, CA",-122.4194155,37.7749295
"183","New York, NY",-74.0059728,40.7127753
"184","Houston, TX",-95.3698028,29.7604267
"185","Seattle, WA",-122.3320708,47.6062095
"186","Washington, DC",-77.0368707,38.9071923
"187","McLean, VA",-77.1772604,38.9338676
"188","San Mateo, CA",-122.3255254,37.5629917
"189","San Francisco, CA",-122.4194155,37.7749295
"190","San Francisco, CA",-122.4194155,37.7749295
"191","Los Angeles, CA",-118.2436849,34.0522342
"192","Salt Lake City, UT",-111.8910474,40.7607793
"193","Woods Hole, MA",-70.6730857,41.5264977
"194","Mountain View, CA",-122.0838511,37.3860517
"195","Norwalk, CT",-73.4081575,41.117744
"196","New York, NY",-74.0059728,40.7127753
"197","Los Angeles, CA",-118.2436849,34.0522342
"198","Saint Louis, MO",-90.1994042,38.6270025
"199","Brooklyn, NY",-73.9441579,40.6781784
"200","New York, NY",-74.0059728,40.7127753
"201","Chevy Chase, MD",-77.0788667,38.9692771
