"","Company","Location","Industry","Rating","Salaries","Python","R","SAS","SQL","Java","Tableau","Spark","C","Perl","Excel","Hadoop","NoSQL","HBase","State","max","min","mean"
"621"," Cyient","Phoenix, AZ","Information Technology",3,"$64k-$94k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AZ","94","64",79
"622"," Aetna","New York, NY","Insurance",3.3,"$118k-$173k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY","173","118",145.5
"623"," Freddie Mac","McLean, VA","Finance",3.4,"$114k-$164k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"VA","164","114",139
"624"," Fossil","Richardson, TX","Retail",3.6,"$93k-$140k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX","140","93",116.5
"625"," Lockheed Martin","Grand Prairie, TX","Aerospace ; Defense",3.7,"$76k-$114k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"TX","114","76",95
"626"," Outfront Media","New York, NY","Media",3,"$77k-$118k(Glassdoor est.)",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","118","77",97.5
"627"," State Farm","Bloomington, IL","Insurance",3.2,"$86k-$127k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"IL","127","86",106.5
"628"," J.P. Morgan","New York, NY","Finance",3.7,"$77k-$125k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY","125","77",101
"629"," BSQUARE","Bellevue, WA","Business Services",3.3,"$110k-$155k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"WA","155","110",132.5
"631",NA,"Los Angeles, CA","Business Services",3.7,"$94k-$136k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","136","94",115
"633"," National Opinion Research Center","Chicago, IL","Business Services",3.3,"$75k-$113k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"IL","113","75",94
"634"," Stanford School of Medicine","Stanford, CA","Education",4,"$86k-$129k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","129","86",107.5
"636"," Signature Science","Arlington, VA","Business Services",2.5,"$60k-$92k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"VA","92","60",76
