"","Company","Location","Industry","Rating","Salaries","Python","R","SAS","SQL","Java","Tableau","Spark","C","Perl","Excel","Hadoop","NoSQL","HBase","State","max","min","mean"
"735"," CACI International","Fort Belvoir, VA","Information Technology",3.5,"$105k-$155k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"VA","155","105",130
"736",NA,"Augusta, GA","Information Technology",3.7,"$54k-$79k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"GA","79","54",66.5
"737"," Eli Lilly","Indianapolis, IN","Biotech ; Pharmaceuticals",4,"$86k-$122k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"IN","122","86",104
"738"," Success Academy Charter Schools","New York, NY","Education",3.1,"$74k-$111k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","111","74",92.5
"739"," Airbnb","San Francisco, CA","Travel ; Tourism",4,"$114k-$160k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","160","114",137
"740"," Flexport","San Francisco, CA","Transportation ; Logistics",4.3,"$151k-$209k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","209","151",180
"741"," First American","Agoura Hills, CA","Insurance",3.6,"$91k-$130k(Glassdoor est.)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","130","91",110.5
"742"," SolarWinds","Cambridge, MA","Information Technology",2.9,"$93k-$133k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"MA","133","93",113
"743",NA,"Mountain View, CA","Information Technology",3,"$142k-$198k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","198","142",170
"744"," Credit Karma","San Francisco, CA","Finance",3.3,"$125k-$174k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","174","125",149.5
"745"," eero","San Francisco, CA","Information Technology",4.5,"$123k-$173k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","173","123",148
"746"," Microsoft","Redmond, WA","Information Technology",4,"$116k-$158k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WA","158","116",137
"747"," Citadel","Chicago, IL","Finance",3.5,"$159k-$232k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"IL","232","159",195.5
"749"," Postmates","San Francisco, CA","Information Technology",3.1,"$97k-$135k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","135","97",116
"751"," Google","Mountain View, CA","Information Technology",4.4,"$138k-$204k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","204","138",171
"752",NA,"Minneapolis, MN","Business Services",4,"$80k-$128k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MN","128","80",104
"753"," Big Fish Games","Oakland, CA","Information Technology",3.5,"$103k-$144k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","144","103",123.5
"755"," Genomic Health","Redwood City, CA","Biotech ; Pharmaceuticals",3.6,"$48k-$67k(Glassdoor est.)",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","67","48",57.5
"756"," Regeneron Pharmaceuticals, Inc.","Tarrytown, NY","Biotech ; Pharmaceuticals",3.7,"$84k-$129k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","129","84",106.5
"759"," Health Catalyst","Salt Lake City, UT","Information Technology",4.7,"$85k-$120k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"UT","120","85",102.5
"761",NA,"New York, NY","Media",4.4,"$53k-$69k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","69","53",61
"762"," RetailNext","San Jose, CA","Information Technology",3.2,"$53k-$69k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"CA","69","53",61
"763"," GlaxoSmithKline","Harrisburg, PA","Biotech ; Pharmaceuticals",3.7,"$68k-$108k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PA","108","68",88
"765"," First Orion","Little Rock, AR","Telecommunications",5,"$67k-$105k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"AR","105","67",86
"766"," Chase","New York, NY","Finance",3.5,"$93k-$144k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY","144","93",118.5
"767"," Udacity","San Francisco, CA","Education",4.5,"$87k-$113k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","113","87",100
"770"," General Dynamics Information Technology","Springfield, VA","Information Technology",3.4,"$69k-$104k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"VA","104","69",86.5
"771"," Quora, Inc.","Mountain View, CA","Information Technology",4.4,"$129k-$189k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","189","129",159
"772"," Unified","New York, NY","Information Technology",4.4,"$88k-$140k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"NY","140","88",114
"773"," S&P Global","Charlottesville, VA","Finance",3.3,"$92k-$136k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"VA","136","92",114
"774"," JBCConnect","New York, NY","Business Services",4.9,"$74k-$117k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","117","74",95.5
"775"," Tavant Technologies Inc","Santa Clara, CA","Information Technology",3.7,"$104k-$151k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"CA","151","104",127.5
"776"," John Deere","Moline, IL","Manufacturing",3.9,"$80k-$123k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"IL","123","80",101.5
"777"," Impact Radius","New York, NY","Business Services",3.9,"$71k-$106k(Glassdoor est.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY","106","71",88.5
"779"," AngioDynamics, Inc.","Marlborough, MA","Manufacturing",2.9,"$93k-$137k(Glassdoor est.)",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA","137","93",115
"780"," Tillster","Los Angeles, CA","Information Technology",3.2,"$73k-$112k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","112","73",92.5
"781"," Zillion Technologies Inc","Framingham, MA","Business Services",3.4,"$73k-$112k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"MA","112","73",92.5
"782"," Wolverine Trading","Chicago, IL","Finance",4.1,"$72k-$91k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"IL","91","72",81.5
"783"," VincentBenjamin","Santa Monica, CA","Business Services",3.5,"$86k-$131k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","131","86",108.5
"784",NA,"New York, NY","Business Services",4.2,"$75k-$128k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","128","75",101.5
"785"," Facebook","Menlo Park, CA","Information Technology",4.6,"$94k-$138k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"CA","138","94",116
"786"," Cratejoy","Austin, TX","Information Technology",4.9,"$89k-$133k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX","133","89",111
"787"," Pymetrics","New York, NY","Information Technology",4.5,"$74k-$115k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","115","74",94.5
"788"," Clovis Community Medical Center","Fresno, CA","Non-Profit",3.3,"$58k-$80k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","80","58",69
"790"," CartoDB","Brooklyn, NY","Information Technology",4.8,"$78k-$116k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","116","78",97
"791"," InCadence Strategic Solutions","Manassas, VA","Information Technology",4.8,"$82k-$124k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"VA","124","82",103
"792"," Recondo Technology","Greenwood Village, Arapahoe, CO","Information Technology",3.5,"$76k-$113k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CO","113","76",94.5
"793",NA,"Boston, MA","Information Technology",4.3,"$95k-$137k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA","137","95",116
"794"," InfoObjects","Santa Clara, CA","Information Technology",4,"$90k-$138k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"CA","138","90",114
"796"," Craftsy","Beverly Hills, CA","Education",3.8,"$97k-$137k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA","137","97",117
"797"," Retention Science","Santa Monica, CA","Information Technology",4.3,"$112k-$161k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","161","112",136.5
"798"," Trulia","San Francisco, CA","Information Technology",3.9,"$118k-$162k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA","162","118",140
"799"," Tala","Santa Monica, CA","Construction, Repair ; Maintenance",3,"$78k-$120k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","120","78",99
"800"," J Crew","New York, NY","Retail",3.8,"$103k-$159k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"NY","159","103",131
"801"," Citadel","New York, NY","Finance",3.5,"$165k-$240k(Glassdoor est.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"NY","240","165",202.5
"802"," Kasasa","Austin, TX","Finance",4.4,"$81k-$115k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX","115","81",98
"805"," Vantiv","Cincinnati, OH","Finance",3.2,"$97k-$135k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"OH","135","97",116
"806",NA,"Salt Lake City, UT","Finance",4.3,"$71k-$106k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"UT","106","71",88.5
"810"," Excellus BlueCross BlueShield","Rochester, NY","Insurance",3.8,"$88k-$132k(Glassdoor est.)",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY","132","88",110
"812",NA,"Irvine, CA","Business Services",4.7,"$100k-$144k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","144","100",122
"813"," Vans","Costa Mesa, CA","Retail",3.8,"$103k-$151k(Glassdoor est.)",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","151","103",127
"815"," STEVENS CAPITAL MANAGEMENT","Radnor, PA","Finance",3,"$78k-$128k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"PA","128","78",103
"816"," Cargill","Minneapolis, MN","Agriculture ; Forestry",3.4,"$120k-$171k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"MN","171","120",145.5
"817"," BitTitan","Kirkland, WA","Information Technology",3,"$108k-$152k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"WA","152","108",130
