"","Company","Location","Industry","Rating","Salaries","Python","R","SAS","SQL","Java","Tableau","Spark","C","Perl","Excel","Hadoop","NoSQL","HBase","State"
"904",NA," Minneapolis, MN","Business Services","4.0","$80k-$128k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MN"
"906"," Big Fish Games","  – Oakland, CA","Information Technology","3.5","$103k-$144k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"909"," [24]7","  – United States","Business Services","3.1","$73k-$106k(Glassdoor est.)",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"es"
"910"," Genomic Health","  – Redwood City, CA","Biotech &amp; Pharmaceuticals","3.6","$48k-$67k(Glassdoor est.)",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"911"," Regeneron Pharmaceuticals, Inc.","  – Tarrytown, NY","Biotech &amp; Pharmaceuticals","3.7","$84k-$129k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY"
"912"," DexYP ","  – Remote",NA,"2.7","$117k-$169k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"te"
"914"," Miracle Software","  – United States","Information Technology","2.8","$71k-$109k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"es"
"915"," Health Catalyst","  – Salt Lake City, UT","Information Technology","4.7","$85k-$120k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"UT"
"916"," Alkermes","  – United States","Biotech &amp; Pharmaceuticals","3.5","$81k-$120k(Glassdoor est.)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"es"
"917",NA," New York, NY","Media","4.4","$53k-$69k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY"
"918"," RetailNext","  – San Jose, CA","Information Technology","3.2","$53k-$69k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"CA"
"919"," GlaxoSmithKline","  – Harrisburg, PA","Biotech &amp; Pharmaceuticals","3.7","$68k-$108k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PA"
"920",NA,"  – Phoenix, AZ",NA,"NA","NA",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AZ"
